sampleName	group	path_to_R1_fastq	path_to_R2_fastq
596-11-1	596-11	/data/CCBR/rawdata/ccbr1060/HGHY2DRXY/fastqs/596-11-1.R1.fastq.gz	/data/CCBR/rawdata/ccbr1060/HGHY2DRXY/fastqs/596-11-1.R2.fastq.gz
596-11-2	596-11	/data/CCBR/rawdata/ccbr1060/HGHY2DRXY/fastqs/596-11-2.R1.fastq.gz	/data/CCBR/rawdata/ccbr1060/HGHY2DRXY/fastqs/596-11-2.R2.fastq.gz
596-11-Dox-1	596-11	/data/CCBR/rawdata/ccbr1060/HGHY2DRXY/fastqs/596-11-Dox-1.R1.fastq.gz	/data/CCBR/rawdata/ccbr1060/HGHY2DRXY/fastqs/596-11-Dox-1.R2.fastq.gz
596-11-Dox-2	596-11	/data/CCBR/rawdata/ccbr1060/HGHY2DRXY/fastqs/596-11-Dox-2.R1.fastq.gz	/data/CCBR/rawdata/ccbr1060/HGHY2DRXY/fastqs/596-11-Dox-2.R2.fastq.gz
596-1-1	596-1	/data/CCBR/rawdata/ccbr1060/HGHY2DRXY/fastqs/596-1-1.R1.fastq.gz	/data/CCBR/rawdata/ccbr1060/HGHY2DRXY/fastqs/596-1-1.R2.fastq.gz
596-1-2	596-1	/data/CCBR/rawdata/ccbr1060/HGHY2DRXY/fastqs/596-1-2.R1.fastq.gz	/data/CCBR/rawdata/ccbr1060/HGHY2DRXY/fastqs/596-1-2.R2.fastq.gz
596-1-Dox-1	596-1	/data/CCBR/rawdata/ccbr1060/HGHY2DRXY/fastqs/596-1-Dox-1.R1.fastq.gz	/data/CCBR/rawdata/ccbr1060/HGHY2DRXY/fastqs/596-1-Dox-1.R2.fastq.gz
596-1-Dox-2	596-1	/data/CCBR/rawdata/ccbr1060/HGHY2DRXY/fastqs/596-1-Dox-2.R1.fastq.gz	/data/CCBR/rawdata/ccbr1060/HGHY2DRXY/fastqs/596-1-Dox-2.R2.fastq.gz
596-6-1	596-6	/data/CCBR/rawdata/ccbr1060/HGHY2DRXY/fastqs/596-6-1.R1.fastq.gz	/data/CCBR/rawdata/ccbr1060/HGHY2DRXY/fastqs/596-6-1.R2.fastq.gz
596-6-2	596-6	/data/CCBR/rawdata/ccbr1060/HGHY2DRXY/fastqs/596-6-2.R1.fastq.gz	/data/CCBR/rawdata/ccbr1060/HGHY2DRXY/fastqs/596-6-2.R2.fastq.gz
596-6-Dox-1	596-6	/data/CCBR/rawdata/ccbr1060/HGHY2DRXY/fastqs/596-6-Dox-1.R1.fastq.gz	/data/CCBR/rawdata/ccbr1060/HGHY2DRXY/fastqs/596-6-Dox-1.R2.fastq.gz
596-6-Dox-2	596-6	/data/CCBR/rawdata/ccbr1060/HGHY2DRXY/fastqs/596-6-Dox-2.R1.fastq.gz	/data/CCBR/rawdata/ccbr1060/HGHY2DRXY/fastqs/596-6-Dox-2.R2.fastq.gz
596-7-1	596-7	/data/CCBR/rawdata/ccbr1060/HGHY2DRXY/fastqs/596-7-1.R1.fastq.gz	/data/CCBR/rawdata/ccbr1060/HGHY2DRXY/fastqs/596-7-1.R2.fastq.gz
596-7-2	596-7	/data/CCBR/rawdata/ccbr1060/HGHY2DRXY/fastqs/596-7-2.R1.fastq.gz	/data/CCBR/rawdata/ccbr1060/HGHY2DRXY/fastqs/596-7-2.R2.fastq.gz
596-7-Dox-1	596-7	/data/CCBR/rawdata/ccbr1060/HGHY2DRXY/fastqs/596-7-Dox-1.R1.fastq.gz	/data/CCBR/rawdata/ccbr1060/HGHY2DRXY/fastqs/596-7-Dox-1.R2.fastq.gz
596-7-Dox-2	596-7	/data/CCBR/rawdata/ccbr1060/HGHY2DRXY/fastqs/596-7-Dox-2.R1.fastq.gz	/data/CCBR/rawdata/ccbr1060/HGHY2DRXY/fastqs/596-7-Dox-2.R2.fastq.gz
